year,state_po,district,candidate,FirstName,LastName,party,candidatevotes,totalvotes,fusion_ticket
2012,AL,1,,#VALUE!,,,4302,200676,FALSE
2012,AL,1,JO BONNER,JO,,REPUBLICAN,196374,200676,FALSE
2012,AL,2,THERESE FORD,THERESE,,DEMOCRAT,103092,283953,FALSE
2012,AL,2,,#VALUE!,,,270,283953,FALSE
2012,AL,2,MARTHA ROBY,MARTHA,,REPUBLICAN,180591,283953,FALSE
2012,AL,3,MIKE ROGERS,MIKE,,REPUBLICAN,175306,273930,FALSE
2012,AL,3,JOHN ANDREW HARRIS,JOHN,,DEMOCRAT,98141,273930,FALSE
2012,AL,3,,#VALUE!,,,483,273930,FALSE
2012,AL,4,DANIEL H. BOMAN,DANIEL,,DEMOCRAT,69706,269118,FALSE
2012,AL,4,,#VALUE!,,,341,269118,FALSE
2012,AL,4,ROBERT B. ADERHOLT,ROBERT,,REPUBLICAN,199071,269118,FALSE
2012,AL,5,,#VALUE!,,,336,291293,FALSE
2012,AL,5,CHARLIE L. HOLLEY,CHARLIE,,DEMOCRAT,101772,291293,FALSE
2012,AL,5,MO BROOKS,MO,,REPUBLICAN,189185,291293,FALSE
2012,AL,6,PENNY H. BAILEY,PENNY,,DEMOCRAT,88267,308102,FALSE
2012,AL,6,,#VALUE!,,,573,308102,FALSE
2012,AL,6,SPENCER BACHUS,SPENCER,,REPUBLICAN,219262,308102,FALSE
2012,AL,7,DON CHAMBERLAIN,DON,,REPUBLICAN,73835,306558,FALSE
2012,AL,7,TERRI A. SEWELL,TERRI,,DEMOCRAT,232520,306558,FALSE
2012,AL,7,,#VALUE!,,,203,306558,FALSE
2012,AK,0,JIM C. MCDERMOTT,JIM,,LIBERTARIAN,15028,289804,FALSE
2012,AK,0,,#VALUE!,,,964,289804,FALSE
2012,AK,0,DON YOUNG,DON,,REPUBLICAN,185296,289804,FALSE
2012,AK,0,TED GIANOUTSOS,TED,,NOMINATED BY PETITION,5589,289804,FALSE
2012,AK,0,SHARON M. CISSNA,SHARON,,DEMOCRAT,82927,289804,FALSE
2012,AZ,1,KIM ALLEN,KIM,,LIBERTARIAN,15227,251595,FALSE
2012,AZ,1,ANN KIRKPATRICK,ANN,,DEMOCRAT,122774,251595,FALSE
2012,AZ,1,JONATHAN PATON,JONATHAN,,REPUBLICAN,113594,251595,FALSE
2012,AZ,2,MARTHA MCSALLY,MARTHA,,REPUBLICAN,144884,292279,FALSE
2012,AZ,2,RON BARBER,RON,,DEMOCRAT,147338,292279,FALSE
2012,AZ,2,,#VALUE!,,,57,292279,FALSE
2012,AZ,3,RA_L M. GRIJALVA,RA_L,,DEMOCRAT,98468,168698,FALSE
2012,AZ,3,BLANCA GUERRA,BLANCA,,LIBERTARIAN,7567,168698,FALSE
2012,AZ,3,GABRIELA SAUCEDO MERCER,GABRIELA,,REPUBLICAN,62663,168698,FALSE
2012,AZ,4,RICHARD GRAYSON,RICHARD,,AMERICANS ELECT,2393,243760,FALSE
2012,AZ,4,JOE PAMELIA,JOE,,LIBERTARIAN,9306,243760,FALSE
2012,AZ,4,JOHNNIE ROBINSON,JOHNNIE,,DEMOCRAT,69154,243760,FALSE
2012,AZ,4,PAUL A. GOSAR,PAUL,,REPUBLICAN,162907,243760,FALSE
2012,AZ,5,MATT SALMON,MATT,,REPUBLICAN,183470,273059,FALSE
2012,AZ,5,SPENCER MORGAN,SPENCER,,DEMOCRAT,89589,273059,FALSE
2012,AZ,6,MARK SALAZAR,MARK,,GREEN,5637,293177,FALSE
2012,AZ,6,JACK ANDERSON,JACK,,LIBERTARIAN,10167,293177,FALSE
2012,AZ,6,,#VALUE!,,,1,293177,FALSE
2012,AZ,6,DAVID SCHWEIKERT,DAVID,,REPUBLICAN,179706,293177,FALSE
2012,AZ,6,MATT JETTE,MATT,,DEMOCRAT,97666,293177,FALSE
2012,AZ,7,JOE COBB,JOE,,LIBERTARIAN,23338,127827,FALSE
2012,AZ,7,ED PASTOR,ED,,DEMOCRAT,104489,127827,FALSE
2012,AZ,8,GENE SCHARER,GENE,,DEMOCRAT,95635,272791,FALSE
2012,AZ,8,STEPHEN DOLGOS,STEPHEN,,AMERICANS ELECT,4347,272791,FALSE
2012,AZ,8,TRENT FRANKS,TRENT,,REPUBLICAN,172809,272791,FALSE
2012,AZ,9,VERNON B. PARKER,VERNON,,REPUBLICAN,111630,250131,FALSE
2012,AZ,9,POWELL GAMMILL,POWELL,,LIBERTARIAN,16620,250131,FALSE
2012,AZ,9,KYRSTEN SINEMA,KYRSTEN,,DEMOCRAT,121881,250131,FALSE
2012,AR,1,JESSICA PAXTON,JESSICA,,LIBERTARIAN,6427,246843,FALSE
2012,AR,1,JACOB HOLLOWAY,JACOB,,GREEN,5015,246843,FALSE
2012,AR,1,"ERIC A. """"RICK"""" CRAWFORD",ERIC,,REPUBLICAN,138800,246843,FALSE
2012,AR,1,SCOTT ELLINGTON,SCOTT,,DEMOCRAT,96601,246843,FALSE
2012,AR,2,TIM GRIFFIN,TIM,,REPUBLICAN,158175,286598,FALSE
2012,AR,2,HERB RULE,HERB,,DEMOCRAT,113156,286598,FALSE
2012,AR,2,CHRIS HAYES,CHRIS,,LIBERTARIAN,6701,286598,FALSE
2012,AR,2,BARBARA WARD,BARBARA,,GREEN,8566,286598,FALSE
2012,AR,3,DAVID PANGRAC,DAVID,,LIBERTARIAN,19875,245660,FALSE
2012,AR,3,STEVE WOMACK,STEVE,,REPUBLICAN,186467,245660,FALSE
2012,AR,3,REBEKAH J. KENNEDY,REBEKAH,,GREEN,39318,245660,FALSE
2012,AR,4,TOM COTTON,TOM,,REPUBLICAN,154149,258953,FALSE
2012,AR,4,J. JOSHUA DRAKE,J.,,GREEN,4807,258953,FALSE
2012,AR,4,BOBBY TULLIS,BOBBY,,LIBERTARIAN,4984,258953,FALSE
2012,AR,4,GENE JEFFRESS,GENE,,DEMOCRAT,95013,258953,FALSE
2012,CA,1,JIM REED,JIM,,DEMOCRAT,125386,294213,FALSE
2012,CA,1,DOUG LA MALFA,DOUG,,REPUBLICAN,168827,294213,FALSE
2012,CA,2,JARED HUFFMAN,JARED,,DEMOCRAT,226216,317526,FALSE
2012,CA,2,DANIEL W. ROBERTS,DANIEL,,REPUBLICAN,91310,317526,FALSE
2012,CA,3,KIM VANN,KIM,,REPUBLICAN,107086,233968,FALSE
2012,CA,3,JOHN GARAMENDI,JOHN,,DEMOCRAT,126882,233968,FALSE
2012,CA,4,TOM MCCLINTOCK,TOM,,REPUBLICAN,197803,323688,FALSE
2012,CA,4,JACK UPPAL,JACK,,DEMOCRAT,125885,323688,FALSE
2012,CA,5,RANDY LOFTIN,RANDY,,REPUBLICAN,69545,272417,FALSE
2012,CA,5,MIKE THOMPSON,MIKE,,DEMOCRAT,202872,272417,FALSE
2012,CA,6,DORIS O. MATSUI,DORIS,,DEMOCRAT,160667,214073,FALSE
2012,CA,6,"JOSEPH MCCRAY, SR.",JOSEPH,,REPUBLICAN,53406,214073,FALSE
2012,CA,7,DANIEL E. LUNGREN,DANIEL,,REPUBLICAN,132050,273291,FALSE
2012,CA,7,AMI BERA,AMI,,DEMOCRAT,141241,273291,FALSE
2012,CA,8,GREGG IMUS,GREGG,,REPUBLICAN,76551,179644,FALSE
2012,CA,8,PAUL COOK,PAUL,,REPUBLICAN,103093,179644,FALSE
2012,CA,9,RICKY GILL,RICKY,,REPUBLICAN,94704,213077,FALSE
2012,CA,9,JERRY MCNERNEY,JERRY,,DEMOCRAT,118373,213077,FALSE
2012,CA,10,JEFF DENHAM,JEFF,,REPUBLICAN,110265,209199,FALSE
2012,CA,10,JOSE HERNANDEZ,JOSE,,DEMOCRAT,98934,209199,FALSE
2012,CA,11,GEORGE MILLER,GEORGE,,DEMOCRAT,200743,287879,FALSE
2012,CA,11,VIRGINIA FULLER,VIRGINIA,,REPUBLICAN,87136,287879,FALSE
2012,CA,12,JOHN DENNIS,JOHN,,REPUBLICAN,44478,298187,FALSE
2012,CA,12,NANCY PELOSI,NANCY,,DEMOCRAT,253709,298187,FALSE
2012,CA,13,BARBARA LEE,BARBARA,,DEMOCRAT,250436,288582,FALSE
2012,CA,13,MARILYN M. SINGLETON,MARILYN,,NONE,38146,288582,FALSE
2012,CA,14,DEBORAH ??DEBBIE?? BACIGALUPI,DEBORAH,,REPUBLICAN,54455,258283,FALSE
2012,CA,14,JACKIE SPEIER,JACKIE,,DEMOCRAT,203828,258283,FALSE
2012,CA,15,FORTNEY PETE STARK,FORTNEY,,DEMOCRAT,110646,231034,FALSE
2012,CA,15,ERIC SWALWELL,ERIC,,DEMOCRAT,120388,231034,FALSE
2012,CA,16,JIM COSTA,JIM,,DEMOCRAT,84649,147450,FALSE
2012,CA,16,BRIAN DANIEL WHELAN,BRIAN,,REPUBLICAN,62801,147450,FALSE
2012,CA,17,EVELYN LI,EVELYN,,REPUBLICAN,57336,216728,FALSE
2012,CA,17,MICHAEL M. HONDA,MICHAEL,,DEMOCRAT,159392,216728,FALSE
