year,state_po,district,candidate,party,candidatevotes,totalvotes,fusion_ticket
2012,AL,1,,,4302,200676,FALSE
2012,AL,1,JO BONNER,REPUBLICAN,196374,200676,FALSE
2012,AL,2,THERESE FORD,DEMOCRAT,103092,283953,FALSE
2012,AL,2,,,270,283953,FALSE
2012,AL,2,MARTHA ROBY,REPUBLICAN,180591,283953,FALSE
2012,AL,3,MIKE ROGERS,REPUBLICAN,175306,273930,FALSE
2012,AL,3,JOHN ANDREW HARRIS,DEMOCRAT,98141,273930,FALSE
2012,AL,3,,,483,273930,FALSE
2012,AL,4,DANIEL H. BOMAN,DEMOCRAT,69706,269118,FALSE
2012,AL,4,,,341,269118,FALSE
2012,AL,4,ROBERT B. ADERHOLT,REPUBLICAN,199071,269118,FALSE
2012,AL,5,,,336,291293,FALSE
2012,AL,5,CHARLIE L. HOLLEY,DEMOCRAT,101772,291293,FALSE
2012,AL,5,MO BROOKS,REPUBLICAN,189185,291293,FALSE
2012,AL,6,PENNY H. BAILEY,DEMOCRAT,88267,308102,FALSE
2012,AL,6,,,573,308102,FALSE
2012,AL,6,SPENCER BACHUS,REPUBLICAN,219262,308102,FALSE
2012,AL,7,DON CHAMBERLAIN,REPUBLICAN,73835,306558,FALSE
2012,AL,7,TERRI A. SEWELL,DEMOCRAT,232520,306558,FALSE
2012,AL,7,,,203,306558,FALSE
2012,AK,0,JIM C. MCDERMOTT,LIBERTARIAN,15028,289804,FALSE
2012,AK,0,,,964,289804,FALSE
2012,AK,0,DON YOUNG,REPUBLICAN,185296,289804,FALSE
2012,AK,0,TED GIANOUTSOS,NOMINATED BY PETITION,5589,289804,FALSE
2012,AK,0,SHARON M. CISSNA,DEMOCRAT,82927,289804,FALSE
2012,AZ,1,KIM ALLEN,LIBERTARIAN,15227,251595,FALSE
2012,AZ,1,ANN KIRKPATRICK,DEMOCRAT,122774,251595,FALSE
2012,AZ,1,JONATHAN PATON,REPUBLICAN,113594,251595,FALSE
2012,AZ,2,MARTHA MCSALLY,REPUBLICAN,144884,292279,FALSE
2012,AZ,2,RON BARBER,DEMOCRAT,147338,292279,FALSE
2012,AZ,2,,,57,292279,FALSE
2012,AZ,3,RA_L M. GRIJALVA,DEMOCRAT,98468,168698,FALSE
2012,AZ,3,BLANCA GUERRA,LIBERTARIAN,7567,168698,FALSE
2012,AZ,3,GABRIELA SAUCEDO MERCER,REPUBLICAN,62663,168698,FALSE
