,#,FirstName,LastName,Name,State,Party,Score,Congress,CleanYear
0,1,Chris,Gibson,Chris Gibson,NY,R,2.27089,113,2011.0
1,2,Pete,King,Pete King,NY,R,2.26093,113,
2,3,Michael,Grimm,Michael Grimm,NY,R,2.20292,113,2011.0
3,4,Ileana,Ros-Lehtinen,Ileana Ros-Lehtinen,FL,R,2.1125,113,1989.0
4,5,Richard,Hanna,Richard Hanna,NY,R,1.75808,113,2011.0
5,6,Mike,Fitzpatrick,Mike Fitzpatrick,PA,R,1.53753,113,2011.0
6,7,Henry,Cuellar,Henry Cuellar,TX,D,1.48994,113,2005.0
7,8,Jon,Runyan,Jon Runyan,NJ,R,1.4699,113,2011.0
8,9,Jim,Matheson,Jim Matheson,UT,D,1.40457,113,2001.0
9,10,Kurt,Schrader,Kurt Schrader,OR,D,1.27908,113,2009.0
10,11,Charlie,Dent,Charlie Dent,PA,R,1.26323,113,2005.0
11,12,Chris,Smith,Chris Smith,NJ,R,1.18265,113,1980.0
12,13,Dave,Joyce,Dave Joyce,OH,R,1.15114,113,
13,14,Jim,Gerlach,Jim Gerlach,PA,R,1.10905,113,2003.0
14,15,Frank,LoBiondo,Frank LoBiondo,NJ,R,1.0661,113,2003.0
15,16,Dan,Lipinski,Dan Lipinski,IL,D,1.06167,113,2005.0
16,17,Jim,Cooper,Jim Cooper,TN,D,1.02325,113,2003.0
17,18,Ron,Kind,Ron Kind,WI,D,0.98526,113,1997.0
18,19,Patrick,Murphy,Patrick Murphy,FL,D,0.96725,113,2013.0
19,20,Tim,Walz,Tim Walz,MN,D,0.95546,113,2007.0
20,21,Tom,Petri,Tom Petri,WI,R,0.92669,113,1979.0
21,22,Ed,Whitfield,Ed Whitfield,KY,R,0.91662,113,1995.0
22,23,Ed,Perlmutter,Ed Perlmutter,CO,D,0.90054,113,2007.0
23,24,Paul,Cook,Paul Cook,CA,R,0.87368,113,2013.0
24,25,Aaron,Schock,Aaron Schock,IL,R,0.83888,113,2009.0
25,26,Rodney,Davis,Rodney Davis,IL,R,0.83803,113,2013.0
26,27,Susan,Brooks,Susan Brooks,IN,R,0.83598,113,2013.0
27,28,Glenn,Thompson,Glenn Thompson,PA,R,0.83151,113,2009.0
28,29,Joe,Heck,Joe Heck,NV,R,0.82552,113,2011.0
29,30,Steve,Stivers,Steve Stivers,OH,R,0.81931,113,2011.0
30,31,Tom,Latham,Tom Latham,IA,R,0.79689,113,1995.0
31,32,Dave,Reichert,Dave Reichert,WA,R,0.79552,113,2005.0
32,33,Gary,Miller,Gary Miller,CA,R,0.78949,113,1999.0
33,34,Frank,Wolf,Frank Wolf,VA,R,0.78146,113,1981.0
34,35,Adam,Kinzinger,Adam Kinzinger,IL,R,0.778,113,2011.0
35,36,Pat,Meehan,Pat Meehan,PA,R,0.77429,113,2011.0
36,37,Mike,McIntyre,Mike McIntyre,NC,D,0.77122,113,1997.0
37,38,Don,Young,Don Young,AK,R,0.74952,113,1973.0
38,39,Tammy,Duckworth,Tammy Duckworth,IL,D,0.74216,113,2013.0
39,40,Walter,Jones,Walter Jones,NC,R,0.738,113,1995.0
40,41,Bill,Owens,Bill Owens,NY,D,0.73584,113,2009.0
41,42,Sanford,Bishop,Sanford Bishop,GA,D,0.73422,113,1993.0
42,43,Duncan,Hunter,Duncan Hunter,CA,R,0.73419,113,
43,44,Tulsi,Gabbard,Tulsi Gabbard,HI,D,0.71825,113,2013.0
44,45,Tim,Ryan,Tim Ryan,OH,D,0.71335,113,2003.0
45,46,Ed,Royce,Ed Royce,CA,R,0.71151,113,1993.0
46,47,Bill,Pascrell,Bill Pascrell,NJ,D,0.6869,113,1997.0
47,48,David,McKinley,David McKinley,WV,R,0.67801,113,2011.0
48,49,Debbie,Wasserman Schultz,Debbie Wasserman Schultz,FL,D,0.66505,113,2005.0
49,50,Dana,Rohrabacher,Dana Rohrabacher,CA,R,0.66498,113,1989.0
50,51,Nick,Rahall,Nick Rahall,WV,D,0.65018,113,1977.0
51,52,John,Barrow,John Barrow,GA,D,0.64039,113,2005.0
52,53,Tom,Reed,Tom Reed,NY,R,0.62216,113,2010.0
53,54,Mike,Thompson,Mike Thompson,CA,D,0.59863,113,1999.0
54,55,Leonard,Lance,Leonard Lance,NJ,R,0.59694,113,2009.0
55,56,Terri,Sewell,Terri Sewell,AL,D,0.5886,113,2011.0
56,57,Joe,Kennedy,Joe Kennedy,MA,D,0.58741,113,2013.0
57,58,G.K.,Butterfield,G.K. Butterfield,NC,D,0.57648,113,
58,59,Jim,Sensenbrenner,Jim Sensenbrenner,WI,R,0.57005,113,1979.0
59,60,Derek,Kilmer,Derek Kilmer,WA,D,0.54963,113,2013.0
60,61,Joe,Garcia,Joe Garcia,FL,D,0.54493,113,2013.0
61,62,Buck,McKeon,Buck McKeon,CA,R,0.52823,113,
62,63,Ron,Barber,Ron Barber,AZ,D,0.49588,113,2012.0
63,64,Ander,Crenshaw,Ander Crenshaw,FL,R,0.49557,113,2001.0
64,65,Darrell,Issa,Darrell Issa,CA,R,0.48522,113,2001.0
65,66,Bradley,Schneider,Bradley Schneider,IL,D,0.47516,113,
66,67,Tom,Rooney,Tom Rooney,FL,R,0.45564,113,2009.0
67,68,Erik,Paulsen,Erik Paulsen,MN,R,0.42932,113,2009.0
68,69,Mike,Michaud,Mike Michaud,ME,D,0.39673,113,2001.0
69,70,Doug,LaMalfa,Doug LaMalfa,CA,R,0.38421,113,2013.0
70,71,Pat,Tiberi,Pat Tiberi,OH,R,0.37476,113,2001.0
71,72,David,Valadao,David Valadao,CA,R,0.36747,113,2013.0
72,73,Jeff,Denham,Jeff Denham,CA,R,0.36739,113,2011.0
73,74,Jim,Renacci,Jim Renacci,OH,R,0.36408,113,2011.0
74,75,Steve,Chabot,Steve Chabot,OH,R,0.36289,113,2011.0
75,76,Mike,Doyle,Mike Doyle,PA,D,0.35947,113,1995.0
76,77,Gregg,Harper,Gregg Harper,MS,R,0.35603,113,2009.0
77,78,Gene,Green,Gene Green,TX,D,0.33848,113,1993.0
78,79,Kyrsten,Sinema,Kyrsten Sinema,AZ,D,0.32315,113,2013.0
79,80,Brad,Sherman,Brad Sherman,CA,D,0.30348,113,1997.0
80,81,Howard,Coble,Howard Coble,NC,R,0.29972,113,1985.0
81,82,Emanuel,Cleaver,Emanuel Cleaver,MO,D,0.29706,113,2005.0
82,83,Tom,Marino,Tom Marino,PA,R,0.2933,113,2011.0
83,84,Brett,Guthrie,Brett Guthrie,KY,R,0.29315,113,2009.0
84,85,Ann,Kirkpatrick,Ann Kirkpatrick,AZ,D,0.27807,113,2013.0
85,86,Fred,Upton,Fred Upton,MI,R,0.2742,113,1987.0
86,87,Cheri,Bustos,Cheri Bustos,IL,D,0.27108,113,2013.0
87,88,Bill,Shuster,Bill Shuster,PA,R,0.26449,113,2001.0
88,89,Bill,Posey,Bill Posey,FL,R,0.25718,113,2009.0
89,90,Gary,Peters,Gary Peters,MI,D,0.25026,113,2009.0
90,91,John,Carney,John Carney,DE,D,0.25022,113,2011.0
91,92,Ben,Luján,Ben Luján,NM,D,0.24852,113,
92,93,Spencer,Bachus,Spencer Bachus,AL,R,0.24067,113,1993.0
93,94,Eliot,Engel,Eliot Engel,NY,D,0.2375,113,1989.0
94,95,Mike,Coffman,Mike Coffman,CO,R,0.23512,113,2009.0
95,96,Kay,Granger,Kay Granger,TX,R,0.21398,113,1999.0
96,97,Tom,Cole,Tom Cole,OK,R,0.21205,113,2003.0
97,98,Diana,DeGette,Diana DeGette,CO,D,0.21098,113,1997.0
98,99,Albio,Sires,Albio Sires,NJ,D,0.20075,113,2006.0
99,100,Sean,Maloney,Sean Maloney,NY,D,0.20036,113,
100,101,Betty,McCollum,Betty McCollum,MN,D,0.19824,113,2001.0
101,102,Scott,Rigell,Scott Rigell,VA,R,0.18338,113,2011.0
102,103,Filemon,Vela,Filemon Vela,TX,D,0.18199,113,
103,104,Jeff,Miller,Jeff Miller,FL,R,0.18194,113,2001.0
104,105,Mike,Turner,Mike Turner,OH,R,0.17187,113,2003.0
105,106,Jim,Costa,Jim Costa,CA,D,0.16635,113,2005.0
106,107,Tim,Bishop,Tim Bishop,NY,D,0.16609,113,2003.0
107,108,Joe,Courtney,Joe Courtney,CT,D,0.16576,113,2007.0
108,109,John,Duncan,John Duncan,TN,R,0.1597,113,
109,110,Bruce,Braley,Bruce Braley,IA,D,0.14832,113,2007.0
110,111,Rodney,Frelinghuysen,Rodney Frelinghuysen,NJ,R,0.14592,113,1995.0
