,#,FirstName,LastName,Name,State,Party,Score,Congress,CleanYear
24,25,Aaron,Schock,Aaron Schock,IL,R,0.83888,113,2009
586,70,Abby,Finkenauer,Abby Finkenauer,IA,D,0.95556,116,2019
565,9,Abigail,Spanberger,Abigail Spanberger,VA,D,2.30736,116,2019
34,35,Adam,Kinzinger,Adam Kinzinger,IL,R,0.778,113,2011
230,232,Adam,Schiff,Adam Schiff,CA,D,-0.42622,113,2001
263,265,Adam,Smith,Adam Smith,WA,D,-0.54543,113,1997
353,355,Adrian,Smith,Adrian Smith,NE,R,-0.92547,113,2007
545,349,Adriano,Espaillat,Adriano Espaillat,NY,D,-0.75119,115,2017
304,306,Al,Green,Al Green,TX,D,-0.73801,113,2005
540,315,Al,Lawson,Al Lawson,FL,D,-0.58315,115,2017
386,388,Alan,Grayson,Alan Grayson,FL,D,-1.11016,113,2013
402,404,Alan,Lowenthal,Alan Lowenthal,CA,D,-1.21699,113,2013
119,120,Alan,Nunnelee,Alan Nunnelee,MS,R,0.0834,113,2011
98,99,Albio,Sires,Albio Sires,NJ,D,0.20075,113,2006
253,255,Alcee,Hastings,Alcee Hastings,FL,D,-0.49531,113,1993
466,297,Alex,Mooney,Alex Mooney,WV,R,-0.5924,114,2015
683,427,Alexandria,Ocasio-Cortez,Alexandria Ocasio-Cortez,NY,D,-1.2585,116,2019
227,229,Allyson,Schwartz,Allyson Schwartz,PA,D,-0.41441,113,2005
462,259,Alma,Adams,Alma Adams,NC,D,-0.5029,114,2014
129,130,Ami,Bera,Ami Bera,CA,D,0.03104,113,2013
63,64,Ander,Crenshaw,Ander Crenshaw,FL,R,0.49557,113,2001
305,307,André,Carson,André Carson,IN,D,-0.74296,113,2008
199,201,Andy,Barr,Andy Barr,KY,R,-0.27916,113,2013
555,407,Andy,Biggs,Andy Biggs,AZ,R,-1.08809,115,2017
397,399,Andy,Harris,Andy Harris,MD,R,-1.18254,113,2011
589,75,Andy,Kim,Andy Kim,NJ,D,0.8799,116,2019
654,321,Andy,Levin,Andy Levin,MI,D,-0.32202,116,2019
594,92,Angie,Craig,Angie Craig,MN,D,0.71094,116,2019
84,85,Ann,Kirkpatrick,Ann Kirkpatrick,AZ,D,0.27807,113,2013
219,221,Ann,Kuster,Ann Kuster,NH,D,-0.35004,113,2013
222,224,Ann,Wagner,Ann Wagner,MO,R,-0.36938,113,2013
141,142,Anna,Eshoo,Anna Eshoo,CA,D,0.00152,113,1993
568,18,Anthony,Brindisi,Anthony Brindisi,NY,D,1.74901,116,2019
547,360,Anthony,Brown,Anthony Brown,MD,D,-0.78554,115,2017
574,39,Anthony,Gonzalez,Anthony Gonzalez,OH,R,1.29965,116,2019
571,24,Antonio,Delgado,Antonio Delgado,NY,D,1.50087,116,2019
392,394,Austin,Scott,Austin Scott,GA,R,-1.11612,113,2011
682,426,Ayanna,Pressley,Ayanna Pressley,MA,D,-1.24848,116,2019
437,82,Barbara,Comstock,Barbara Comstock,VA,R,0.42253,114,2015
379,381,Barbara,Lee,Barbara Lee,CA,D,-1.08666,113,1998
486,398,Barry,Loudermilk,Barry Loudermilk,GA,R,-1.1281,114,2015
649,312,Ben,Cline,Ben Cline,VA,R,-0.2985,116,2019
91,92,Ben,Lujan,Ben Lujan,NM,D,0.24852,113,2009
575,40,Ben,Mcadams,Ben Mcadams,UT,D,1.27925,116,2019
143,144,Bennie,Thompson,Bennie Thompson,MS,D,-0.0126,113,1993
117,118,Beto,O'Rourke,Beto O'Rourke,TX,D,0.10174,113,2013
100,101,Betty,McCollum,Betty McCollum,MN,D,0.19824,113,2001
237,239,Bill,Cassidy,Bill Cassidy,LA,R,-0.44253,113,2009
127,128,Bill,Enyart,Bill Enyart,IL,D,0.03324,113,2013
307,309,Bill,Flores,Bill Flores,TX,R,-0.75167,113,2011
196,197,Bill,Foster,Bill Foster,IL,D,-0.267,113,2013
292,294,Bill,Huizenga,Bill Huizenga,MI,R,-0.68805,113,2011
163,164,Bill,Johnson,Bill Johnson,OH,R,-0.11224,113,2011
186,187,Bill,Keating,Bill Keating,MA,D,-0.25004,113,2011
40,41,Bill,Owens,Bill Owens,NY,D,0.73584,113,2009
46,47,Bill,Pascrell,Bill Pascrell,NJ,D,0.6869,113,1997
88,89,Bill,Posey,Bill Posey,FL,R,0.25718,113,2009
87,88,Bill,Shuster,Bill Shuster,PA,R,0.26449,113,2001
321,323,Billy,Long,Billy Long,MO,R,-0.79142,113,2011
198,200,Blaine,Luetkemeyer,Blaine Luetkemeyer,MO,R,-0.27366,113,2009
248,250,Blake,Farenthold,Blake Farenthold,TX,R,-0.48675,113,2011
421,5,Bob,Dold,Bob Dold,IL,R,1.76693,114,2011
246,248,Bob,Gibbs,Bob Gibbs,OH,R,-0.48411,113,2011
140,141,Bob,Goodlatte,Bob Goodlatte,VA,R,0.00222,113,1993
125,126,Bob,Latta,Bob Latta,OH,R,0.05439,113,2007
328,330,Bobby,Rush,Bobby Rush,IL,D,-0.81331,113,1993
320,322,Bobby,Scott,Bobby Scott,VA,D,-0.79125,113,1993
495,419,Bonnie,Watson Coleman,Bonnie Watson Coleman,NJ,D,-1.4791,114,2015
425,14,Brad,Ashford,Brad Ashford,NE,D,1.27666,114,2015
511,95,Brad,Schneider,Brad Schneider,IL,D,0.36639,115,2013
79,80,Brad,Sherman,Brad Sherman,CA,D,0.30348,113,1997
471,330,Brad,Wenstrup,Brad Wenstrup,OH,R,-0.7371,114,2013
475,354,Bradley,Byrne,Bradley Byrne,AL,R,-0.8227,114,2014
65,66,Bradley,Schneider,Bradley Schneider,IL,D,0.47516,113,2013
478,367,Brenda,Lawrence,Brenda Lawrence,MI,D,-0.9152,114,2015
461,258,Brendan,Boyle,Brendan Boyle,PA,D,-0.4938,114,2015
83,84,Brett,Guthrie,Brett Guthrie,KY,R,0.29315,113,2009
491,407,Brian,Babin,Brian Babin,TX,R,-1.2214,114,2015
498,2,Brian,Fitzpatrick,Brian Fitzpatrick,PA,R,2.1912,115,2017
121,122,Brian,Higgins,Brian Higgins,NY,D,0.07508,113,2005
503,31,Brian,Mast,Brian Mast,FL,R,1.16743,115,2017
109,110,Bruce,Braley,Bruce Braley,IA,D,0.14832,113,2007
450,166,Bruce,Poliquin,Bruce Poliquin,ME,R,-0.0855,114,2015
487,399,Bruce,Westerman,Bruce Westerman,AR,R,-1.1544,114,2015
636,261,Bryan,Steil,Bryan Steil,WI,R,-0.09659,116,2019
61,62,Buck,McKeon,Buck McKeon,CA,R,0.52823,113,1993
464,276,Buddy,Carter,Buddy Carter,GA,R,-0.5518,114,2015
111,112,Candice,Miller,Candice Miller,MI,R,0.14215,113,2003
423,11,Carlos,Curbelo,Carlos Curbelo,FL,R,1.37491,114,2015
643,288,Carol,Miller,Carol Miller,WV,R,-0.22806,116,2019
